Date,RegionName,AreaCode,AveragePrice,Index,year_month,bank_rate_pct,median_ratio,net_additional_dwellings_fy,median_gross_annual_pay,ppd_median_price,ppd_sales_count
2021-11-01,St Albans,E07000240,250000,100,2021-11,1.0,8.5,,42000,,
2021-12-01,St Albans,E07000240,250000,100,2021-12,1.0,8.5,,42000,,
2020-01-01,Leeds,E08000035,250000,100,2020-01,1.0,8.5,,42000,,
2020-02-01,Leeds,E08000035,250000,100,2020-02,1.0,8.5,,42000,,
2020-03-01,Leeds,E08000035,250000,100,2020-03,1.0,8.5,,42000,,
2020-04-01,Leeds,E08000035,250000,100,2020-04,1.0,8.5,,42000,,
2020-05-01,Leeds,E08000035,250000,100,2020-05,1.0,8.5,,42000,,
2020-06-01,Leeds,E08000035,250000,100,2020-06,1.0,8.5,,42000,,
2020-07-01,Leeds,E08000035,250000,100,2020-07,1.0,8.5,,42000,,
2020-08-01,Leeds,E08000035,250000,100,2020-08,1.0,8.5,,42000,,
2020-09-01,Leeds,E08000035,250000,100,2020-09,1.0,8.5,,42000,,
2020-10-01,Leeds,E08000035,250000,100,2020-10,1.0,8.5,,42000,,
2020-11-01,Leeds,E08000035,250000,100,2020-11,1.0,8.5,,42000,,
2020-12-01,Leeds,E08000035,250000,100,2020-12,1.0,8.5,,42000,,
2021-01-01,Leeds,E08000035,250000,100,2021-01,1.0,8.5,,42000,,
2021-02-01,Leeds,E08000035,250000,100,2021-02,1.0,8.5,,42000,,
2021-03-01,Leeds,E08000035,250000,100,2021-03,1.0,8.5,,42000,,
2021-04-01,Leeds,E08000035,250000,100,2021-04,1.0,8.5,,42000,,
2021-05-01,Leeds,E08000035,250000,100,2021-05,1.0,8.5,,42000,,
2021-06-01,Leeds,E08000035,250000,100,2021-06,1.0,8.5,,42000,,
2021-07-01,Leeds,E08000035,250000,100,2021-07,1.0,8.5,,42000,,
2021-08-01,Leeds,E08000035,250000,100,2021-08,1.0,8.5,,42000,,
2021-09-01,Leeds,E08000035,250000,100,2021-09,1.0,8.5,,42000,,
2021-10-01,Leeds,E08000035,250000,100,2021-10,1.0,8.5,,42000,,
2021-11-01,Leeds,E08000035,250000,100,2021-11,1.0,8.5,,42000,,
2021-12-01,Leeds,E08000035,250000,100,2021-12,1.0,8.5,,42000,,
2020-01-01,Brighton and Hove,E06000043,250000,100,2020-01,1.0,8.5,,42000,,
2020-02-01,Brighton and Hove,E06000043,250000,100,2020-02,1.0,8.5,,42000,,
2020-03-01,Brighton and Hove,E06000043,250000,100,2020-03,1.0,8.5,,42000,,
2020-04-01,Brighton and Hove,E06000043,250000,100,2020-04,1.0,8.5,,42000,,
2020-05-01,Brighton and Hove,E06000043,250000,100,2020-05,1.0,8.5,,42000,,
2020-06-01,Brighton and Hove,E06000043,250000,100,2020-06,1.0,8.5,,42000,,
2020-07-01,Brighton and Hove,E06000043,250000,100,2020-07,1.0,8.5,,42000,,
2020-08-01,Brighton and Hove,E06000043,250000,100,2020-08,1.0,8.5,,42000,,
2020-09-01,Brighton and Hove,E06000043,250000,100,2020-09,1.0,8.5,,42000,,
2020-10-01,Brighton and Hove,E06000043,250000,100,2020-10,1.0,8.5,,42000,,
2020-11-01,Brighton and Hove,E06000043,250000,100,2020-11,1.0,8.5,,42000,,
2020-12-01,Brighton and Hove,E06000043,250000,100,2020-12,1.0,8.5,,42000,,
2021-01-01,Brighton and Hove,E06000043,250000,100,2021-01,1.0,8.5,,42000,,
2021-02-01,Brighton and Hove,E06000043,250000,100,2021-02,1.0,8.5,,42000,,
2021-03-01,Brighton and Hove,E06000043,250000,100,2021-03,1.0,8.5,,42000,,
2021-04-01,Brighton and Hove,E06000043,250000,100,2021-04,1.0,8.5,,42000,,
2021-05-01,Brighton and Hove,E06000043,250000,100,2021-05,1.0,8.5,,42000,,
2021-06-01,Brighton and Hove,E06000043,250000,100,2021-06,1.0,8.5,,42000,,
2021-07-01,Brighton and Hove,E06000043,250000,100,2021-07,1.0,8.5,,42000,,
2021-08-01,Brighton and Hove,E06000043,250000,100,2021-08,1.0,8.5,,42000,,
2021-09-01,Brighton and Hove,E06000043,250000,100,2021-09,1.0,8.5,,42000,,
2021-10-01,Brighton and Hove,E06000043,250000,100,2021-10,1.0,8.5,,42000,,
2021-11-01,Brighton and Hove,E06000043,250000,100,2021-11,1.0,8.5,,42000,,
2021-12-01,Brighton and Hove,E06000043,250000,100,2021-12,1.0,8.5,,42000,,
2020-01-01,Burnley,E07000117,250000,100,2020-01,1.0,8.5,,42000,,
2020-02-01,Burnley,E07000117,250000,100,2020-02,1.0,8.5,,42000,,
2020-03-01,Burnley,E07000117,250000,100,2020-03,1.0,8.5,,42000,,
2020-04-01,Burnley,E07000117,250000,100,2020-04,1.0,8.5,,42000,,
2020-05-01,Burnley,E07000117,250000,100,2020-05,1.0,8.5,,42000,,
2020-06-01,Burnley,E07000117,250000,100,2020-06,1.0,8.5,,42000,,
2020-07-01,Burnley,E07000117,250000,100,2020-07,1.0,8.5,,42000,,
2020-08-01,Burnley,E07000117,250000,100,2020-08,1.0,8.5,,42000,,
2020-09-01,Burnley,E07000117,250000,100,2020-09,1.0,8.5,,42000,,
2020-10-01,Burnley,E07000117,250000,100,2020-10,1.0,8.5,,42000,,
2020-11-01,Burnley,E07000117,250000,100,2020-11,1.0,8.5,,42000,,
2020-12-01,Burnley,E07000117,250000,100,2020-12,1.0,8.5,,42000,,
2021-01-01,Burnley,E07000117,250000,100,2021-01,1.0,8.5,,42000,,
2021-02-01,Burnley,E07000117,250000,100,2021-02,1.0,8.5,,42000,,
2021-03-01,Burnley,E07000117,250000,100,2021-03,1.0,8.5,,42000,,
2021-04-01,Burnley,E07000117,250000,100,2021-04,1.0,8.5,,42000,,
2021-05-01,Burnley,E07000117,250000,100,2021-05,1.0,8.5,,42000,,
2021-06-01,Burnley,E07000117,250000,100,2021-06,1.0,8.5,,42000,,
2021-07-01,Burnley,E07000117,250000,100,2021-07,1.0,8.5,,42000,,
2021-08-01,Burnley,E07000117,250000,100,2021-08,1.0,8.5,,42000,,
2021-09-01,Burnley,E07000117,250000,100,2021-09,1.0,8.5,,42000,,
2021-10-01,Burnley,E07000117,250000,100,2021-10,1.0,8.5,,42000,,
2021-11-01,Burnley,E07000117,250000,100,2021-11,1.0,8.5,,42000,,
2021-12-01,Burnley,E07000117,250000,100,2021-12,1.0,8.5,,42000,,
2020-01-01,Camden,E09000007,250000,100,2020-01,1.0,8.5,,42000,,
2020-02-01,Camden,E09000007,250000,100,2020-02,1.0,8.5,,42000,,
2020-03-01,Camden,E09000007,250000,100,2020-03,1.0,8.5,,42000,,
2020-04-01,Camden,E09000007,250000,100,2020-04,1.0,8.5,,42000,,
2020-05-01,Camden,E09000007,250000,100,2020-05,1.0,8.5,,42000,,
2020-06-01,Camden,E09000007,250000,100,2020-06,1.0,8.5,,42000,,
2020-07-01,Camden,E09000007,250000,100,2020-07,1.0,8.5,,42000,,
2020-08-01,Camden,E09000007,250000,100,2020-08,1.0,8.5,,42000,,
2020-09-01,Camden,E09000007,250000,100,2020-09,1.0,8.5,,42000,,
2020-10-01,Camden,E09000007,250000,100,2020-10,1.0,8.5,,42000,,
2020-11-01,Camden,E09000007,250000,100,2020-11,1.0,8.5,,42000,,
2020-12-01,Camden,E09000007,250000,100,2020-12,1.0,8.5,,42000,,
2021-01-01,Camden,E09000007,250000,100,2021-01,1.0,8.5,,42000,,
2021-02-01,Camden,E09000007,250000,100,2021-02,1.0,8.5,,42000,,
2021-03-01,Camden,E09000007,250000,100,2021-03,1.0,8.5,,42000,,
2021-04-01,Camden,E09000007,250000,100,2021-04,1.0,8.5,,42000,,
2021-05-01,Camden,E09000007,250000,100,2021-05,1.0,8.5,,42000,,
2021-06-01,Camden,E09000007,250000,100,2021-06,1.0,8.5,,42000,,
2021-07-01,Camden,E09000007,250000,100,2021-07,1.0,8.5,,42000,,
2021-08-01,Camden,E09000007,250000,100,2021-08,1.0,8.5,,42000,,
2021-09-01,Camden,E09000007,250000,100,2021-09,1.0,8.5,,42000,,
2021-10-01,Camden,E09000007,250000,100,2021-10,1.0,8.5,,42000,,
2021-11-01,Camden,E09000007,250000,100,2021-11,1.0,8.5,,42000,,
2021-12-01,Camden,E09000007,250000,100,2021-12,1.0,8.5,,42000,,
2020-01-01,Hackney,E09000012,250000,100,2020-01,1.0,8.5,,42000,,
2020-02-01,Hackney,E09000012,250000,100,2020-02,1.0,8.5,,42000,,
2020-03-01,Hackney,E09000012,250000,100,2020-03,1.0,8.5,,42000,,
2020-04-01,Hackney,E09000012,250000,100,2020-04,1.0,8.5,,42000,,
2020-05-01,Hackney,E09000012,250000,100,2020-05,1.0,8.5,,42000,,
2020-06-01,Hackney,E09000012,250000,100,2020-06,1.0,8.5,,42000,,
2020-07-01,Hackney,E09000012,250000,100,2020-07,1.0,8.5,,42000,,
2020-08-01,Hackney,E09000012,250000,100,2020-08,1.0,8.5,,42000,,
2020-09-01,Hackney,E09000012,250000,100,2020-09,1.0,8.5,,42000,,
2020-10-01,Hackney,E09000012,250000,100,2020-10,1.0,8.5,,42000,,
2020-11-01,Hackney,E09000012,250000,100,2020-11,1.0,8.5,,42000,,
2020-12-01,Hackney,E09000012,250000,100,2020-12,1.0,8.5,,42000,,
2021-01-01,Hackney,E09000012,250000,100,2021-01,1.0,8.5,,42000,,
2021-02-01,Hackney,E09000012,250000,100,2021-02,1.0,8.5,,42000,,
2021-03-01,Hackney,E09000012,250000,100,2021-03,1.0,8.5,,42000,,
2021-04-01,Hackney,E09000012,250000,100,2021-04,1.0,8.5,,42000,,
2021-05-01,Hackney,E09000012,250000,100,2021-05,1.0,8.5,,42000,,
2021-06-01,Hackney,E09000012,250000,100,2021-06,1.0,8.5,,42000,,
2021-07-01,Hackney,E09000012,250000,100,2021-07,1.0,8.5,,42000,,
2021-08-01,Hackney,E09000012,250000,100,2021-08,1.0,8.5,,42000,,
2021-09-01,Hackney,E09000012,250000,100,2021-09,1.0,8.5,,42000,,
2021-10-01,Hackney,E09000012,250000,100,2021-10,1.0,8.5,,42000,,
2021-11-01,Hackney,E09000012,250000,100,2021-11,1.0,8.5,,42000,,
2021-12-01,Hackney,E09000012,250000,100,2021-12,1.0,8.5,,42000,,
2020-01-01,Haringey,E09000014,250000,100,2020-01,1.0,8.5,,42000,,
2020-02-01,Haringey,E09000014,250000,100,2020-02,1.0,8.5,,42000,,
2020-03-01,Haringey,E09000014,250000,100,2020-03,1.0,8.5,,42000,,
2020-04-01,Haringey,E09000014,250000,100,2020-04,1.0,8.5,,42000,,
2020-05-01,Haringey,E09000014,250000,100,2020-05,1.0,8.5,,42000,,
2020-06-01,Haringey,E09000014,250000,100,2020-06,1.0,8.5,,42000,,
2020-07-01,Haringey,E09000014,250000,100,2020-07,1.0,8.5,,42000,,
2020-08-01,Haringey,E09000014,250000,100,2020-08,1.0,8.5,,42000,,
2020-09-01,Haringey,E09000014,250000,100,2020-09,1.0,8.5,,42000,,
2020-10-01,Haringey,E09000014,250000,100,2020-10,1.0,8.5,,42000,,
2020-11-01,Haringey,E09000014,250000,100,2020-11,1.0,8.5,,42000,,
2020-12-01,Haringey,E09000014,250000,100,2020-12,1.0,8.5,,42000,,
2021-01-01,Haringey,E09000014,250000,100,2021-01,1.0,8.5,,42000,,
2021-02-01,Haringey,E09000014,250000,100,2021-02,1.0,8.5,,42000,,
2021-03-01,Haringey,E09000014,250000,100,2021-03,1.0,8.5,,42000,,
2021-04-01,Haringey,E09000014,250000,100,2021-04,1.0,8.5,,42000,,
2021-05-01,Haringey,E09000014,250000,100,2021-05,1.0,8.5,,42000,,
2021-06-01,Haringey,E09000014,250000,100,2021-06,1.0,8.5,,42000,,
2021-07-01,Haringey,E09000014,250000,100,2021-07,1.0,8.5,,42000,,
2021-08-01,Haringey,E09000014,250000,100,2021-08,1.0,8.5,,42000,,
2021-09-01,Haringey,E09000014,250000,100,2021-09,1.0,8.5,,42000,,
2021-10-01,Haringey,E09000014,250000,100,2021-10,1.0,8.5,,42000,,
2021-11-01,Haringey,E09000014,250000,100,2021-11,1.0,8.5,,42000,,
2021-12-01,Haringey,E09000014,250000,100,2021-12,1.0,8.5,,42000,,
2020-01-01,Islington,E09000019,250000,100,2020-01,1.0,8.5,,42000,,
2020-02-01,Islington,E09000019,250000,100,2020-02,1.0,8.5,,42000,,
2020-03-01,Islington,E09000019,250000,100,2020-03,1.0,8.5,,42000,,
2020-04-01,Islington,E09000019,250000,100,2020-04,1.0,8.5,,42000,,
2020-05-01,Islington,E09000019,250000,100,2020-05,1.0,8.5,,42000,,
2020-06-01,Islington,E09000019,250000,100,2020-06,1.0,8.5,,42000,,
2020-07-01,Islington,E09000019,250000,100,2020-07,1.0,8.5,,42000,,
2020-08-01,Islington,E09000019,250000,100,2020-08,1.0,8.5,,42000,,
2020-09-01,Islington,E09000019,250000,100,2020-09,1.0,8.5,,42000,,
2020-10-01,Islington,E09000019,250000,100,2020-10,1.0,8.5,,42000,,
2020-11-01,Islington,E09000019,250000,100,2020-11,1.0,8.5,,42000,,
2020-12-01,Islington,E09000019,250000,100,2020-12,1.0,8.5,,42000,,
2021-01-01,Islington,E09000019,250000,100,2021-01,1.0,8.5,,42000,,
2021-02-01,Islington,E09000019,250000,100,2021-02,1.0,8.5,,42000,,
2021-03-01,Islington,E09000019,250000,100,2021-03,1.0,8.5,,42000,,
2021-04-01,Islington,E09000019,250000,100,2021-04,1.0,8.5,,42000,,
2021-05-01,Islington,E09000019,250000,100,2021-05,1.0,8.5,,42000,,
2021-06-01,Islington,E09000019,250000,100,2021-06,1.0,8.5,,42000,,
2021-07-01,Islington,E09000019,250000,100,2021-07,1.0,8.5,,42000,,
2021-08-01,Islington,E09000019,250000,100,2021-08,1.0,8.5,,42000,,
2021-09-01,Islington,E09000019,250000,100,2021-09,1.0,8.5,,42000,,
2021-10-01,Islington,E09000019,250000,100,2021-10,1.0,8.5,,42000,,
2021-11-01,Islington,E09000019,250000,100,2021-11,1.0,8.5,,42000,,
2021-12-01,Islington,E09000019,250000,100,2021-12,1.0,8.5,,42000,,
